Peak,Lamp
611.492,Ar
617.227,Ar
664.369,Ar
668.429,Ar
696.543,Ar
706.72,Ar
714.704,Ar
727.293,Ar
738.39,Ar
750.386,Ar
751.465,Ar
763.510,Ar
772.376,Ar
772.421,Ar
794.817,Ar
800.615,Ar
801.4,Ar
810.3693,Ar
811.531,Ar
826.452,Ar
840.82,Ar
842.465,Ar
852.144,Ar
866.794,Ar
912.297,Ar
922.45,Ar
935.422,Ar
965.779,Ar
978.45,Ar
1047.005,Ar
1067.357,Ar
1107.887,Ar
1144.183,Ar
1148.811,Ar
1166.871,Ar
1171.949,Ar
1211.233,Ar
1213.974,Ar
1234.339,Ar
1243.932,Ar
1248.766,Ar
1270.228,Ar
1273.342,Ar
1280.274,Ar
1295.666,Ar
1300.826,Ar
1322.811,Ar
1322.811,Ar
1327.264,Ar
1331.321,Ar
1336.711,Ar
1350.419,Ar
1362.266,Ar
1367.855,Ar
1371.858,Ar
1382.572,Ar
1390.748,Ar
1409.364,Ar
1504.65,Ar
1517.269,Ar
1532.934,Ar
1598.949,Ar
1694.058,Ar
1704.288,Ar
324.754004,CuNeAr
327.396191,CuNeAr
407.2,CuNeAr
410.391016,CuNeAr
413.172998,CuNeAr
415.858984,CuNeAr
420.067432,CuNeAr
434.806006,CuNeAr
442.600098,CuNeAr
454.508008,CuNeAr
476.486,CuNeAr
510.554,CuNeAr
521.82,CuNeAr
540.056,CuNeAr
576.442,CuNeAr
585.248779,CuNeAr
594.483398,CuNeAr
607.43377,CuNeAr
609.07848,CuNeAr
609.6163,CuNeAr
614.30623,CuNeAr
633.44279,CuNeAr
638.29914,CuNeAr
640.2246,CuNeAr
650.65279,CuNeAr
659.895,CuNeAr
667.82,CuNeAr
671.70428,CuNeAr
692.9468,CuNeAr
696.543,CuNeAr
703.24127,CuNeAr
705.9108,CuNeAr
724.5167,CuNeAr
727.29359,CuNeAr
738.398,CuNeAr
743.8899,CuNeAr
763.5106,CuNeAr
794.8175,CuNeAr
800.61567,CuNeAr
801.47857,CuNeAr
810.3692,CuNeAr
811.5311,CuNeAr
826.45225,CuNeAr
840.82096,CuNeAr
842.46475,CuNeAr
852.14422,CuNeAr
866.79442,CuNeAr
912.29674,CuNeAr
922.45,CuNeAr
965.779,CuNeAr
978.45,CuNeAr
226.222,Hg
253.652,Hg
284.767,Hg
296.728,Hg
302.15,Hg
313.155,Hg
334.148,Hg
365.015,Hg
398.393,Hg
404.656,Hg
407.783,Hg
435.833,Hg
546.074,Hg
567.710,Hg
576.959,Hg
579.066,Hg
614.947,Hg
794.456,Hg
431.958,Kr
436.264,Kr
437.612,Kr
439.997,Kr
445.392,Kr
446.369,Kr
450.235,Kr
556.222,Kr
557.029,Kr
587.096,Kr
758.741,Kr
760.155,Kr
768.525,Kr
769.454,Kr
785.482,Kr
791.343,Kr
805.95,Kr
810.436,Kr
819.006,Kr
826.324,Kr
829.811,Kr
877.675,Kr
892.869,Kr
1181.938,Kr
1220.353,Kr
1317.741,Kr
1363.422,Kr
1442.679,Kr
1473.444,Kr
1520.31,Kr
1537.204,Kr
1620.872,Kr
1689.676,Kr
1755.35,Kr
1785.738,Kr
1800.223,Kr
1816.733,Kr
2190.851,Kr
341.79,Ne
342.391,Ne
344.77,Ne
345.076,Ne
345.419,Ne
346.052,Ne
346.658,Ne
347.257,Ne
349.806,Ne
350.121,Ne
351.519,Ne
352.047,Ne
359.353,Ne
360.017,Ne
363.366,Ne
368.573,Ne
370.122,Ne
503.135,Ne
503.775,Ne
508.038,Ne
511.367,Ne
511.65,Ne
540.056,Ne
576.441,Ne
582.015,Ne
585.249,Ne
588.189,Ne
594.483,Ne
597.553,Ne
602.99968,Ne
607.433,Ne
609.616,Ne
612.884,Ne
614.306,Ne
616.359,Ne
621.728,Ne
626.649,Ne
630.479,Ne
633.442,Ne
638.299,Ne
640.225,Ne
650.653,Ne
653.288,Ne
659.895,Ne
667.828,Ne
671.704,Ne
692.947,Ne
703.241,Ne
717.394,Ne
724.512,Ne
743.89,Ne
747.244,Ne
748.887,Ne
753.577,Ne
754.404,Ne
837.761,Ne
849.536,Ne
878.375,Ne
1117.752,Ne
1152.275,Ne
419.35,Xe
438.39,Xe
450.1,Xe
452.47,Xe
458.28,Xe
462.43,Xe
467.12,Xe
473.42,Xe
480.7,Xe
491.99,Xe
502.83,Xe
539.28,Xe
582.39,Xe
618.24,Xe
631.81,Xe
666.89,Xe
672.8,Xe
711.96,Xe
728.43,Xe
758.47,Xe
764.2,Xe