element,wavelength,intensity,acc,state,source,note,reference,unit
Pt,1604.0102,9,,1,,,SRSA92,A
Pt,1636.1647,25,,1,,,SRSA92,A
Pt,1644.4634,8,,1,,,SRSA92,A
Pt,1677.8443,20,,1,,,SRSA92,A
Pt,1690.7825,7,,1,,,SRSA92,A
Pt,1714.4801,7,,1,,,SRSA92,A
Pt,1737.1732,14,,1,,,SRSA92,A
Pt,1744.4305,10,,1,,,SRSA92,A
Pt,1764.5948,14,,1,,,SRSA92,A
Pt,1776.5571,40,,1,,,SRSA92,A
Pt,1777.2783,20,,1,,,SRSA92,A
Pt,1786.648,25,,1,,,SRSA92,A
Pt,1802.9398,20,,1,,,SRSA92,A
Pt,1812.8819,20,,1,,,SRSA92,A
Pt,1817.8736,15,,1,,,SRSA92,A
Pt,1825.3262,8,,1,,,SRSA92,A
Pt,1826.1377,13,,1,,,SRSA92,A
Pt,1845.7517,25,,1,,,SRSA92,A
Pt,1849.6831,13,,1,,,SRSA92,A
Pt,1853.4523,9,,1,,,SRSA92,A
Pt,1903.2186,15,,1,,,SRSA92,A
Pt,1934.369,50,,1,,,SRSA92,A
Pt,1937.4245,100,,1,,,SRSA92,A
Pt,1940.0319,20,,1,,,SRSA92,A
Pt,1963.1429,11,,1,,,SRSA92,A
Pt,1969.6807,13,,1,,,SRSA92,A
Pt,1971.5374,30,,1,,,SRSA92,A
Pt,1979.7647,25,,1,,,SRSA92,A
Pt,1987.7868,9,,1,,,SRSA92,A
Pt,1989.1056,15,,1,,,SRSA92,A
Pt,1991.583,8,,1,,,SRSA92,A
Pt,1995.8991,11,,1,,,SRSA92,A
Pt,2021.2310951730965,9,,1,,,SRSA92,A
Pt,2031.335215374565,20,,1,,,SRSA92,A
Pt,2033.115556364237,30,,1,,,SRSA92,A
Pt,2036.4891046240539,7,,1,,,SRSA92,A
Pt,2050.0847444524393,60,,1,,,SRSA92,A
Pt,2061.457584763269,9,,1,,,SRSA92,A
Pt,2063.490188108475,15,,1,,,SRSA92,A
Pt,2068.2073275140788,20,,1,,,SRSA92,A
Pt,2071.6418143801875,8,,1,,,SRSA92,A
Pt,2071.6418143801875,8,,1,,,SRSA92,A
Pt,2085.296268510715,50,,1,,,SRSA92,A
Pt,2102.387665913371,10,,1,,,SRSA92,A
Pt,2102.387665913371,10,,1,,,SRSA92,A
Pt,2104.049008702975,70,,1,,,SRSA92,A
Pt,2110.3685170467675,8,,1,,,SRSA92,A
Pt,2129.297176282419,25,,1,,,SRSA92,A
Pt,2129.343386019539,90,,1,,,SRSA92,A
Pt,2135.873865484718,7,,1,,,SRSA92,A
Pt,2144.9249883073503,130,,1,,u,SRSA92,A
Pt,2165.927996808886,20,,1,,,SRSA92,A
Pt,2175.4045513545825,200,,1,,,SRSA92,A
Pt,2181.224719174366,11,,1,,,SRSA92,A
Pt,2202.948289815099,30,,1,,,SRSA92,A
Pt,2223.343221081577,13,,1,,,SRSA92,A
Pt,2235.6587804364135,12,,1,,,SRSA92,A
Pt,2245.712145267084,14,,1,,,SRSA92,A
Pt,2250.04332431991,15,,1,,,SRSA92,A
Pt,2250.6353583007603,11,,1,,,SRSA92,A
Pt,2269.578664237761,15,,1,,,SRSA92,A
Pt,2275.1231313106714,50,,1,,,SRSA92,A
Pt,2275.582536432488,12,,1,,,SRSA92,A
Pt,2290.0214506342118,15,,1,,,SRSA92,A
Pt,2293.1443700178343,60,,1,,,SRSA92,A
Pt,2308.7929881138098,25,,1,,,SRSA92,A
Pt,2316.2534206681053,9,,1,,,SRSA92,A
Pt,2319.048571032004,40,,1,,,SRSA92,A
Pt,2340.937286687424,14,,1,,,SRSA92,A
Pt,2357.8654695746673,40,,1,,,SRSA92,A
Pt,2369.041511236742,14,,1,,,SRSA92,A
Pt,2384.4102591145097,8,,1,,,SRSA92,A
Pt,2387.576712824884,7,,1,,,SRSA92,A
Pt,2390.304262636301,25,,1,,,SRSA92,A
Pt,2403.863500737043,11,,1,,,SRSA92,A
Pt,2418.833590368797,10,,1,,,SRSA92,A
Pt,2437.468479379677,25,,1,,,SRSA92,A
Pt,2440.841394262067,110,,1,,,SRSA92,A
Pt,2451.750234642619,7,,1,,c,SRSA92,A
Pt,2468.1875267943024,50,,1,,,SRSA92,A
Pt,2468.269646779285,10,,1,,,SRSA92,A
Pt,2487.9605500924345,200,,1,,P,SRSA92,A
Pt,2487.9605500924345,200,,1,,P,SRSA92,A
Pt,2490.9192737378585,25,,1,,,SRSA92,A
Pt,2496.6067661565207,20,,1,,,SRSA92,A
Pt,2499.294424774283,60,,1,,,SRSA92,A
Pt,2509.2945787971003,7,,1,,,SRSA92,A
Pt,2516.376019822557,40,,1,,,SRSA92,A
Pt,2525.107670205909,9,,1,,,SRSA92,A
Pt,2540.011549740762,30,,1,,,SRSA92,A
Pt,2603.9581595910076,9,,1,,,SRSA92,A
Pt,2628.8539036772922,200,,1,,P,SRSA92,A
Pt,2640.1752518559497,15,,1,,,SRSA92,A
Pt,2640.1752518559497,15,,1,,,SRSA92,A
Pt,2647.7121508825826,90,,1,,,SRSA92,A
Pt,2651.685152862949,300,,1,,P,SRSA92,A
Pt,2660.2852239423273,500,,1,,P,SRSA92,A
Pt,2675.408748919946,9,,1,,,SRSA92,A
Pt,2677.9871019093293,50,,1,,,SRSA92,A
Pt,2699.269601473642,20,,1,,,SRSA92,A
Pt,2703.24531201275,200,,1,,P,SRSA92,A
Pt,2706.741801221021,150,,1,,P,SRSA92,A
Pt,2719.8833472490765,130,,1,,,SRSA92,A
Pt,2730.765122541507,13,,1,,,SRSA92,A
Pt,2734.8105553431856,300,,1,,P,SRSA92,A
Pt,2754.712044346759,8,,1,,,SRSA92,A
Pt,2755.7714156120146,30,,1,,,SRSA92,A
Pt,2770.6962412326393,7,,1,,,SRSA92,A
Pt,2772.5229099545413,100,,1,,,SRSA92,A
Pt,2804.107331243629,20,,1,,,SRSA92,A
Pt,2819.1205023784128,30,,1,,,SRSA92,A
Pt,2831.1705143385607,300,,1,,Pc,SRSA92,A
Pt,2835.5904568742194,15,,1,,,SRSA92,A
Pt,2894.75810449628,130,,1,,P,SRSA92,A
Pt,2898.767647984765,60,,1,,,SRSA92,A
Pt,2906.795638544066,8,,1,,,SRSA92,A
Pt,2913.1513948242923,15,,1,,,SRSA92,A
Pt,2914.4388304505273,15,,1,,,SRSA92,A
Pt,2922.2814758916247,7,,1,,,SRSA92,A
Pt,2930.6938716583454,400,,1,,P,SRSA92,A
Pt,2961.6619698684544,7,,1,,,SRSA92,A
Pt,2998.8845337767602,600,,1,,Pc,SRSA92,A
Pt,3003.1875645579994,40,,1,,,SRSA92,A
Pt,3037.3749630897005,20,,1,,,SRSA92,A
Pt,3043.5658953168336,800,,1,,Pc,SRSA92,A
Pt,3065.650924536774,1000,,1,,Pc,SRSA92,A
Pt,3072.875433587886,20,,1,,,SRSA92,A
Pt,3100.974468616887,25,,1,,,SRSA92,A
Pt,3140.3467122951033,90,,1,,,SRSA92,A
Pt,3157.5267784501016,40,,1,,,SRSA92,A
Pt,3201.685739254729,40,,1,,,SRSA92,A
Pt,3205.0133268557875,80,,1,,,SRSA92,A
Pt,3231.2676364456643,12,,1,,,SRSA92,A
Pt,3234.401473904605,7,,1,,,SRSA92,A
Pt,3252.9684388389364,30,,1,,,SRSA92,A
Pt,3256.899590764554,50,,1,,,SRSA92,A
Pt,3269.4111403177467,10,,1,,,SRSA92,A
Pt,3282.9647716070785,11,,1,,,SRSA92,A
Pt,3291.219584619777,25,,1,,,SRSA92,A
Pt,3302.8627077512906,250,,1,,P,SRSA92,A
Pt,3316.04854714469,150,,1,,P,SRSA92,A
Pt,3344.9105032513326,9,,1,,,SRSA92,A
Pt,3409.1625116583064,900,,1,,Pc,SRSA92,A
Pt,3428.9638569456756,25,,1,,,SRSA92,A
Pt,3484.475168473395,12,,1,,,SRSA92,A
Pt,3486.3166671062836,60,,1,,,SRSA92,A
Pt,3515.7739489048736,10,,1,,,SRSA92,A
Pt,3529.599098492909,9,,1,,,SRSA92,A
Pt,3629.2020750172496,60,,1,,,SRSA92,A
Pt,3629.9575808009854,13,,1,,,SRSA92,A
Pt,3639.8821845944767,25,,1,,,SRSA92,A
Pt,3639.8821845944767,25,,1,,,SRSA92,A
Pt,3644.2621781697244,40,,1,,,SRSA92,A
Pt,3673.102342092342,15,,1,,,SRSA92,A
Pt,3675.148800418241,12,,1,,,SRSA92,A
Pt,3684.0790372923957,10,,1,,,SRSA92,A
Pt,3688.522750176787,20,,1,,,SRSA92,A
Pt,3701.023563216481,14,,1,,,SRSA92,A
Pt,3707.634468764495,15,,1,,,SRSA92,A
Pt,3802.21094309186,13,,1,,d,SRSA92,A
Pt,3819.83087228586,250,,1,,,SRSA92,A
Pt,3869.5780207664725,15,,1,,,SRSA92,A
Pt,3876.8741242001083,15,,1,,,SRSA92,A
Pt,3899.8970488260557,15,,1,,s,SRSA92,A
Pt,3901.888796174618,30,,1,,s,SRSA92,A
Pt,3905.549302192357,12,,1,,,SRSA92,A
Pt,3912.0642929659457,13,,1,,,SRSA92,A
Pt,3924.128009779382,60,,1,,c,SRSA92,A
Pt,3926.508664451115,15,,1,,,SRSA92,A
Pt,3949.5672076876112,9,,1,,,SRSA92,A
Pt,3967.5410549116104,100,,1,,,SRSA92,A
Pt,3997.759777795563,11,,1,,,SRSA92,A
Pt,4067.1398108454077,11,,1,,,SRSA92,A
Pt,4082.6827016159896,9,,1,,c,SRSA92,A
Pt,4093.470980765177,13,,1,,,SRSA92,A
Pt,4119.900582409005,60,,1,,,SRSA92,A
Pt,4165.787870091447,50,,1,,,SRSA92,A
Pt,4193.669585617807,25,,1,,,SRSA92,A
Pt,4328.337114697175,11,,1,,,SRSA92,A
Pt,4393.131810536174,12,,1,,,MCS75,A
Pt,4443.865916094678,50,,1,,,MCS75,A
Pt,4446.866750809841,9,,1,,,MCS75,A
Pt,4500.091563013945,15,,1,,,MCS75,A
Pt,4522.237730083058,8,,1,,,MCS75,A
Pt,4553.766513784368,25,,1,,,MCS75,A
Pt,4880.967912252399,8,,1,,,MCS75,A
Pt,5045.5240255128,9,,1,,,MCS75,A
Pt,5060.968357923353,20,,1,,,MCS75,A
Pt,5229.195594613391,25,,1,,,MCS75,A
Pt,5302.576224149803,25,,1,,,MCS75,A
Pt,5370.565350599041,8,,1,,,MCS75,A
Pt,5392.371487505765,8,,1,,,MCS75,A
Pt,5477.3754212942995,9,,1,,,MCS75,A
Pt,5480.106190458845,9,,1,,,MCS75,A
Pt,5765.256598722699,4,,1,,,MCS75,A
Pt,5841.828219419751,13,,1,,,MCS75,A
Pt,5846.549552900394,5,,1,,,MCS75,A
Pt,6027.80077585359,4,,1,,,MCS75,A
Pt,6320.213530137844,5,,1,,,MCS75,A
Pt,6328.425856167154,5,,1,,,MCS75,A
Pt,6525.35166121961,6,,1,,,MCS75,A
Pt,6712.374707479408,7,,1,,,MCS75,A
Pt,6761.988786985175,13,,1,,,MCS75,A
Pt,6844.5922346090465,40,,1,,,MCS75,A
Pt,7115.799271456683,13,,1,,,MCS75,A
Pt,8227.125629463162,7,,1,,,MCS75,A
